date,fond,horizon(mois),VL (MAD),1W (%),6M (%),1A (%),2A (%),3A (%),5A (%),Catégorie,perf_1A_norm,perf_3A_norm,perf_5A_norm,score_performance,volatilite,vola_norm,score_risque,raroc_raw,raroc_norm,score_raroc,score_global
11/21/2025,FCP ATTIJARI GOLD,60.0,2399.98,0.46,22.75,39.1,85.98,100.54,117.95,contractuel,0.8378743526232831,0.894560669456067,1.0,0.8873053771484616,2.735,0.3005932010038786,0.6994067989961215,459.9821428571429,1.0,1.0,0.8647441905582212  FCP ATTIJARI VALEURS ESG
11/7/2025,FCP ATTIJARI GOLD,60.0,2351.52,-0.57,20.36,39.06,85.25,94.03,114.6,contractuel,0.8369736545823014,0.8340306834030684,0.9701930776759499,0.8627346478472612,2.606,0.28587725302304356,0.7141227469769564,369.68656716417917,0.7876136820758493,0.7876136820758493,0.7956147878547462
10/17/2025,ATTIJARI ACTIONS,60.0,931.67,-0.38,8.19,30.47,48.04,63.18,72.91,actions,0.6435487502814682,0.5471873547187355,0.5992526025447104,0.6057811020652968,1.1989999999999998,0.12537075062742412,0.8746292493725759,347.0,0.7342520812514313,0.7342520812514313,0.7249768400133209
10/17/2025,ATTIJARI PATRIMOINE VALEURS,60.0,121.35,-0.32,7.46,27.56,44.16,56.99,66.39,actions,0.578022967800045,0.4896327289632729,0.5412403238722306,0.5441493673634505,1.066,0.11019849418206709,0.8898015058179329,359.38095238095235,0.7633736065133785,0.7633736065133785,0.7136122806447737
10/17/2025,ATTIJARI AL MOUCHARAKA,60.0,1350.66,-0.64,6.74,32.27,53.32,58.25,75.19,actions,0.6840801621256475,0.501348210134821,0.6195391049025715,0.6163523650837843,1.314,0.13848961898243212,0.8615103810175679,223.93243243243245,0.4447820011177699,0.4447820011177699,0.6384286606741151
11/14/2025,FCP ATTIJARI GOLD,60.0,2388.91,1.59,27.21,46.3,86.09,97.66,114.62,contractuel,1.0,0.8677824267782427,0.9703710294510189,0.9544089339236765,4.311,0.48037873602555325,0.5196212639744467,153.0059171597633,0.27795409945871796,0.27795409945871796,0.6210361825994201
10/17/2025,ATTIJARI DIVIDEND FUND,60.0,1146.61,-0.47,7.24,25.21,39.39,52.41,62.62,actions,0.5251069578923666,0.44704788470478846,0.5076964142717324,0.4982071272119663,1.194,0.12480036504677162,0.8751996349532284,246.03508771929828,0.4967701692721703,0.4967701692721703,0.6108737921524061
10/31/2025,ATTIJARI ACTIONS,60.0,989.48,1.34,13.13,37.14,60.59,76.99,84.11,actions,0.7937401486151768,0.6755927475592748,0.698905596583326,0.739329017892036,2.6530000000000005,0.2912388774811773,0.7087611225188226,137.66666666666666,0.2418742925917368,0.2418742925917368,0.5809222316899822
10/24/2025,FCP ATTIJARI GOLD,60.0,2407.04,-2.06,24.67,40.26,84.87,109.16,114.24,contractuel,0.8639945958117542,0.9747094374709439,0.9669899457247085,0.9178081182921021,4.527,0.5050193931097422,0.4949806068902578,122.0648148148148,0.20517681497799004,0.20517681497799004,0.5771704738773152
10/31/2025,FCP ATTIJARI GOLD,60.0,2364.91,-1.75,23.64,37.78,81.17,100.21,110.43,contractuel,0.8081513172708851,0.8914923291492329,0.9330901325740726,0.8581413838950269,4.114,0.45790554414784396,0.5420944558521561,134.28108108108108,0.23391097820981596,0.23391097820981596,0.5760581837766023
10/17/2025,ATTIJARI PATRIMOINE DIVERSIFIE,48.0,5574.3,-0.3,4.75,17.24,32.86,40.76,44.86,diversifié,0.34564287322675075,0.3387261738726174,0.34967523801049916,0.34437433637726045,0.7749999999999999,0.07700205338809035,0.9229979466119096,257.15,0.5229138122494875,0.5229138122494875,0.5715232622093234
10/31/2025,ATTIJARI AL MOUCHARAKA,60.0,1421.58,1.41,11.14,37.76,63.99,68.62,83.0,actions,0.8077009682503941,0.5977684797768481,0.6890292730669989,0.7209868826716512,2.524,0.27652292950034224,0.7234770704996578,125.41721854304636,0.21306208154360076,0.21306208154360076,0.5693564986816382
10/31/2025,ATTIJARI DIVIDEND FUND,60.0,1209.11,1.05,11.69,30.81,50.25,64.36,71.82,actions,0.6512046836298131,0.5581589958158996,0.5895542308034523,0.6109608867203669,2.2190000000000003,0.24172940908053847,0.7582705909194616,145.2086956521739,0.259614073900135,0.259614073900135,0.5497497541340257
10/31/2025,ATTIJARI PATRIMOINE VALEURS,60.0,128.99,1.38,12.19,34.17,56.52,70.69,77.41,actions,0.7268633190722812,0.6170153417015342,0.6392917519352256,0.676394612433646,2.5989999999999998,0.28507871321013,0.71492128678987,123.15540540540539,0.2077420184015318,0.2077420184015318,0.547356836530879
10/17/2025,ATTIJARI DIVERSIFIE,48.0,724.39,-0.26,5.45,15.23,28.87,33.97,40.07,diversifié,0.3003827966674173,0.27559274755927476,0.30705578788148413,0.2942803801777879,0.805,0.08042436687200549,0.9195756331279945,247.97222222222226,0.5013265482668492,0.5013265482668492,0.5439828064895683
11/7/2025,ATTIJARI ACTIONS,60.0,971.95,-1.77,9.33,31.05,58.43,79.19,77.46,actions,0.6566088718757037,0.696048349604835,0.6397366313728979,0.665066267093882,2.7030000000000003,0.29694273328770254,0.7030572667122974,100.37433155080213,0.15415812619855693,0.15415812619855693,0.5231911247108091
10/10/2025,FCP ATTIJARI GOLD,60.0,2312.99,2.87,21.45,39.83,84.86,98.78,102.81,contractuel,0.8543120918712003,0.8781961878196188,0.8652905062728001,0.8636730035360458,5.015000000000001,0.5606890257814283,0.4393109742185717,81.28619528619528,0.10926047815587203,0.10926047815587203,0.5100406371267514
