date,fond,horizon(mois),VL (MAD),1W (%),6M (%),1A (%),2A (%),3A (%),5A (%),Catégorie
11/21/2025,FCP ATTIJARI GOLD,60.0,2399.98,0.46,22.75,39.1,85.98,100.54,117.95,contractuel
11/14/2025,FCP ATTIJARI GOLD,60.0,2388.91,1.59,27.21,46.3,86.09,97.66,114.62,contractuel
11/7/2025,FCP ATTIJARI GOLD,60.0,2351.52,-0.57,20.36,39.06,85.25,94.03,114.6,contractuel
10/31/2025,FCP ATTIJARI GOLD,60.0,2364.91,-1.75,23.64,37.78,81.17,100.21,110.43,contractuel
10/24/2025,FCP ATTIJARI GOLD,60.0,2407.04,-2.06,24.67,40.26,84.87,109.16,114.24,contractuel
10/17/2025,FCP ATTIJARI GOLD,60.0,2457.62,6.25,26.16,43.66,87.62,111.88,117.59,contractuel
10/10/2025,FCP ATTIJARI GOLD,60.0,2312.99,2.87,21.45,39.83,84.86,98.78,102.81,contractuel
10/3/2025,FCP ATTIJARI GOLD,60.0,"2,248.54",3.25,21.47,36.22,88.19,89.18,98.22,contractuel
